seq	time	fx	fy	fz	tx	ty	tz	
325	1580406963.414777658	27.0983	-4.88689	-1.31944	3.33725	8.69834	-1.74185	
326	1580406963.422705176	-17.0415	6.91242	11.3413	3.33717	3.42086	-3.82215	
327	1580406963.430736437	-23.2228	8.56436	13.114	3.33725	2.96296	-3.62065	
328	1580406963.438753306	-23.2227	8.56439	13.1144	3.3374	2.96291	-3.62049	
329	1580406963.446718927	-23.2277	11.5	11.4402	3.337	2.80824	-3.89095	
330	1580406963.454702443	-23.2672	39.5263	-4.54781	3.33686	1.33385	-6.47493	
331	1580406963.462739518	-23.2241	8.56178	13.1136	3.3366	2.96219	-3.62021	
332	1580406963.470730324	-23.2797	47.277	-8.96928	3.33708	0.925695	-7.1904	
333	1580406963.478695550	-23.28	47.8486	-9.29657	3.33722	0.895553	-7.24333	
334	1580406963.486724524	-23.2243	8.55858	13.1149	3.33674	2.96192	-3.62086	
335	1580406963.494751406	-23.2551	32.0875	-0.307214	3.33675	1.72477	-5.79026	
336	1580406963.502713404	-23.2278	10.6333	11.9321	3.3365	2.85279	-3.81218	
337	1580406963.510773151	-23.2805	47.8496	-9.29719	3.33657	0.895485	-7.24337	
338	1580406963.518719487	-23.2288	14.9164	9.4862	3.33626	2.62776	-4.2072	
339	1580406963.526801758	-23.2196	8.55575	13.1148	3.33622	2.96238	-3.6208	
340	1580406963.534748940	-25.5469	7.33025	11.8075	3.33652	1.3864	-2.67697	
341	1580406963.542739171	-31.7309	43.4013	-14.0404	3.33658	-4.31465	-2.92126	
342	1580406963.550696329	-31.7142	32.0632	-7.57285	3.33687	-1.66715	1.72003	
343	1580406963.558711467	-23.217	8.55536	13.1134	3.33701	4.68386	-0.603388	
344	1580406963.566677149	-23.2174	8.55334	13.1143	3.337	2.96327	-3.62021	
345	1580406963.574741939	-26.152	7.01296	11.4673	3.33687	0.977788	-2.43283	
346	1580406963.582741580	-31.6859	11.2972	4.273	3.33667	-3.13739	-0.858842	
